gene_id,U_statistic,p_value,bonferonni_p_value,group
ENSG00000100288,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000234136,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000106367,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000175155,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000147676,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000272667,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000131845,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000149503,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000244055,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000204525,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000109501,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000177602,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000171970,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000255389,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
ENSG00000186047,6.0,4.69229586084e-05,0.872485492365,M2_12+M6_07
ENSG00000165475,6.0,4.69229586084e-05,0.872485492365,M2_12+M6_07
ENSG00000166133,6.0,4.69229586084e-05,0.872485492365,M2_12+M6_07
ENSG00000260447,6.0,4.69229586084e-05,0.872485492365,M2_12+M6_07
ENSG00000229387,6.0,4.69229586084e-05,0.872485492365,M2_12+M6_07
ENSG00000258790,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000065491,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000272541,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000130699,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000273226,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000170836,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000047617,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000204267,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000140691,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000242852,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000101255,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000181449,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000164117,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000144749,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000183087,0.0,5.19105645393e-05,0.965225037045,M2_12+M6_07
ENSG00000272017,3.0,5.21332187239e-05,0.969365068953,M2_12+M6_07
ENSG00000260158,7.0,6.57200086489e-05,1.22199784082,M2_12+M6_07
ENSG00000070047,1.0,6.9784006686e-05,1.29756382032,M2_12+M6_07
ENSG00000254870,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000250920,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000272195,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000104897,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000105321,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000256725,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000119699,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000103888,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000163312,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000109320,4.0,7.130349903e-05,1.32581726096,M2_12+M6_07
ENSG00000241945,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000232640,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000235530,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000204920,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000103257,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000185480,8.0,9.14576279774e-05,1.70056313461,M2_12+M6_07
ENSG00000183307,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000185245,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000170604,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000116874,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000067646,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000168101,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000145757,2.0,9.33436949407e-05,1.73563266373,M2_12+M6_07
ENSG00000230337,5.0,9.6977738522e-05,1.80320407008,M2_12+M6_07
ENSG00000101445,5.0,9.6977738522e-05,1.80320407008,M2_12+M6_07
ENSG00000176974,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000083635,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000226383,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000174038,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000197410,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000224051,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000173621,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000164306,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000206530,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000242114,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000159055,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000158435,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000116717,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000236662,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000115661,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000155287,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000260054,0.0,0.000110387366013,2.05254268364,M2_12+M6_07
ENSG00000156983,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
ENSG00000156453,6.0,0.000131160228633,2.43879329121,M2_12+M6_07
